"","X","customer_no","Contribution_cont_amt","Contribution_campaign_name","Contribution_cont_dt","Constituency_1","Constituency_2","Constituency_3","Constituency_4","Constituency_5","Constituency_6","Address_postal_code","cont_yr","cont_month","clean_zips","lat","long"
"74",74,3647141,50,"CLd11 Annual Fund","6/27/2016 0:00",NA,NA,"btS",NA,NA,NA,"15644-9306",2015,11,15216,40.400319,-80.03566
"75",75,3000908,25,"CLd15 Annual Fund","3/12/2001 0:00","clS",NA,NA,NA,NA,NA,"15215-3123",2016,4,15143,40.561091,-80.15554
"76",76,3003721,150,"CLd03 Annual Fund","10/21/2016 0:00",NA,NA,NA,NA,NA,NA,"15122-4007",2011,8,15131,40.341469,-79.81105
"77",77,295367,35,"CLd16 Special Projects","6/17/2002 0:00","bwS",NA,NA,NA,NA,NA,"15666-1247",2016,6,15108,40.500665,-80.18464
"78",78,4058987,25,"CLd09 Annual Fund","3/9/2009 0:00",NA,NA,NA,NA,NA,NA,"16127-1101",2016,11,15241,40.329619,-80.07364
"79",79,3917579,25,"CLd13 Annual Fund","12/3/2013 0:00","ptT",NA,NA,NA,NA,NA,"16001-8611",2014,2,15146,40.431034,-79.76526
"80",80,334022,25,"CLd17 Annual Fund","6/1/2015 0:00",NA,NA,NA,NA,NA,NA,"15227-3810",2013,8,15317,40.26819,-80.16222
"81",81,3633974,75,"CLd05 Annual Fund","4/8/2008 0:00",NA,NA,NA,NA,NA,NA,"15238-2724",2016,6,15220,40.430822,-80.04453
"82",82,3648576,25,"CLd02 Annual Fund","12/8/2015 0:00",NA,NA,NA,NA,NA,NA,"15222-3504",2009,6,15211,40.428369,-80.01269
"83",83,261542,25,"CLd12 Annual Fund","11/10/2000 0:00","clS",NA,NA,NA,NA,NA,"15017-3438",1996,6,15090,40.617016,-80.05916
"84",84,484482,25,"CLd13 Annual Fund","8/15/2005 0:00",NA,"ptS","ptS",NA,NA,NA,"15650-1632",2005,9,15143,40.561091,-80.15554
"85",85,4014206,100,"CLd16 Annual Fund","8/20/2013 0:00",NA,NA,NA,NA,NA,NA,"15051-9754",2016,9,15909,40.36344,-78.87674
"86",86,3150112,25,"CLd13 Annual Fund","4/23/2015 0:00",NA,NA,NA,NA,NA,NA,"43953-3710",2011,3,15206,40.468968,-79.91863
"87",87,218644,50,"CLd06 Academy Fund","4/14/2014 0:00","ptT","btS",NA,NA,NA,NA,"15234-1112",2015,5,15042,40.682566,-80.23208
"88",88,425121,5000,"CLd14 Wine Tasting & Auction","6/18/2008 0:00","bwS",NA,NA,NA,NA,NA,"15474-1034",2014,10,15238,40.518701,-79.86744
"89",89,3939787,100,"CLd13 Annual Fund","9/30/2013 0:00",NA,NA,NA,NA,NA,NA,"15202-2608",2016,8,15668,40.451664,-79.67948
"90",90,3416980,100,"CLd17 Annual Fund","7/31/2016 0:00","clS","clS",NA,NA,NA,NA,"26347-9726",1998,12,15143,40.561091,-80.15554
"91",91,3294493,35,"CLd13 Annual Fund","12/5/2012 0:00",NA,NA,"ptT","poS",NA,NA,"15143-8513",2016,12,15601,40.298765,-79.54126
"92",92,3629592,25,"CLd11 Annual Fund","4/26/2016 0:00","clS",NA,NA,NA,NA,NA,"16066-6125",2014,12,15101,40.570915,-79.96033
"93",93,410867,25,"CLd14 Taste for Talent","3/15/2016 0:00",NA,"clS",NA,NA,NA,NA,"15203-1721",2013,9,15146,40.431034,-79.76526
"94",94,3249451,250,"CLd13 Annual Fund","5/5/2010 0:00","ptS",NA,NA,NA,NA,NA,"15239-1156",2016,2,16601,40.526319,-78.40082
"95",95,3555061,100,"CLd16 Annual Fund","3/15/2016 0:00",NA,NA,"poS",NA,NA,NA,"78664-7799",2008,12,26302,39.26277,-80.30858
"96",96,3790044,50,"CLd15 Annual Fund","8/18/2004 0:00","ptT",NA,NA,NA,NA,NA,"15905-1705",2016,3,15009,40.695281,-80.3299
"97",97,3292531,125,"CLd13 Annual Fund","10/25/2013 0:00","ptS","clS",NA,NA,NA,NA,"15759-4516",2013,6,15106,40.404119,-80.09014
"98",98,3055667,150,"CLd16 Taste for Talent","9/18/2002 0:00",NA,NA,NA,NA,NA,NA,"15101-1605",2016,9,15228,40.372802,-80.0448
"99",99,393125,100,"CLd14 Annual Fund","2/29/2012 0:00","clS",NA,NA,"poS",NA,NA,"15090-7331",2014,6,15217,40.430919,-79.92569
"100",100,3936300,20,"CLd07 Annual Fund","3/28/2012 0:00","clS",NA,NA,NA,NA,NA,"15236-1554",2010,12,15401,39.89822,-79.7311
"101",101,3148268,100,"CLd15 Taste for Talent","5/5/2014 0:00","btS",NA,NA,NA,NA,NA,"15229-2232",2013,4,15102,40.324535,-80.03864
"102",102,206324,25,"CLd04 Annual Fund","2/24/2004 0:00","clS",NA,NA,NA,NA,NA,"15243-1363",2010,2,15146,40.431034,-79.76526
"103",103,3824392,100,"CLd15 Taste for Talent","9/30/2011 0:00","opT","clS",NA,NA,NA,NA,"15217-3516",2016,12,15317,40.26819,-80.16222
"104",104,451962,25,"CLd11 Annual Fund","5/22/2014 0:00",NA,NA,NA,NA,NA,NA,"15090-7649",2002,7,15238,40.518701,-79.86744
"105",105,3036986,4000,"CLd16 Special Projects","8/26/2016 0:00","btS",NA,NA,NA,NA,NA,"15217-1315",2014,10,15227,40.377869,-79.97516
"106",106,3551251,25,"CLd06 Wine Tasting & Auction","4/2/2001 0:00",NA,NA,NA,NA,NA,NA,"15143-1490",2005,6,15243,40.372669,-80.0712
"107",107,588032,250,"CLd17 Annual Fund","2/15/2016 0:00",NA,NA,NA,NA,NA,NA,"15235-4612",2015,6,14424,42.85297,-77.29466
"108",108,3648933,20,"CLd15 Annual Fund","8/19/2016 0:00",NA,"ptT",NA,NA,NA,NA,"15090-7331",2009,9,15025,40.292974,-79.90179
"109",109,109444,200,"CLd06 Annual Fund","5/5/2003 0:00",NA,NA,NA,NA,NA,NA,"77040-5659",2013,3,15238,40.518701,-79.86744
"110",110,3089980,100,"CLd04 Annual Fund","8/9/2016 0:00",NA,NA,NA,NA,NA,NA,"16232-7445",2014,2,15143,40.561091,-80.15554
"111",111,3229709,100,"CLd08 Annual Fund","7/7/2014 0:00",NA,NA,"ptT",NA,NA,NA,"15237-1408",2007,4,15212,40.460669,-80.01144
"112",112,230082,50,"CLd15 Wine Tasting & Auction","6/26/2008 0:00",NA,NA,NA,NA,NA,NA,"15208-2525",2011,4,15241,40.329619,-80.07364
"113",113,3223752,20,"CLd14 Annual Fund","9/30/2014 0:00","ptT",NA,NA,NA,NA,NA,"16059-3928",2012,3,15668,40.451664,-79.67948
"114",114,285364,2500,"CLd13 Wine Tasting & Auction","4/19/2016 0:00",NA,NA,NA,NA,NA,NA,"15208-2401",2012,9,15206,40.468968,-79.91863
"115",115,3096526,1000,"CLd12 Annual Fund","12/21/2016 0:00",NA,"clS",NA,NA,NA,NA,"15677-0083",2016,8,15142,40.379549,-80.12451
"116",116,3512735,10000,"CLd14 Wine Tasting & Auction","7/2/2015 0:00","clS",NA,NA,NA,NA,NA,"15090-7395",2014,2,15301,40.170663,-80.25185
"117",117,206075,250,"CLd14 Taste for Talent","9/24/2013 0:00",NA,NA,NA,NA,NA,NA,"15209-1205",2014,10,15235,40.459518,-79.83277
"118",118,3521353,500,"CLd11 Annual Fund","8/13/2015 0:00",NA,NA,NA,NA,NA,NA,"16601-3036",2016,2,15232,40.454018,-79.9325
"119",119,3036195,180,"CLd12 Annual Fund","3/15/2016 0:00","clS",NA,NA,NA,NA,NA,"15213-2900",2013,10,15012,40.140248,-79.84251
"120",120,3688565,25,"CLd09 Annual Fund","6/27/2016 0:00","clS",NA,NA,NA,NA,NA,"15232-2150",2014,12,15044,40.631011,-79.95766
"121",121,297451,25,"CLd15 Annual Fund","12/3/2013 0:00","clS",NA,NA,NA,NA,NA,"16063-2726",2012,4,15238,40.518701,-79.86744
"122",122,3506287,250,"CLd13 Annual Fund","7/5/2009 0:00",NA,NA,NA,NA,NA,NA,"15642-3849",2016,11,98023,47.309021,-122.36178
"123",123,206405,110,"CLd14 Annual Fund","1/31/2011 0:00",NA,NA,NA,NA,NA,NA,"16066-5416",2013,8,15226,40.394002,-80.01655
"124",124,3118803,25,"CLd07 Annual Fund","9/17/2014 0:00",NA,NA,NA,NA,NA,NA,"15235-1923",2000,3,26041,39.912923,-80.73701
"125",125,3023544,25,"CLd17 Annual Fund","6/26/2013 0:00",NA,NA,NA,NA,NA,NA,"15690-1107",2016,12,26003,40.071472,-80.6868
"126",126,390332,150,"CLd16 Annual Fund","9/14/2016 0:00",NA,NA,NA,"opT",NA,NA,"15677-0083",2014,7,15228,40.372802,-80.0448
"127",127,3417742,100,"CLd14 Annual Fund","1/28/1999 0:00",NA,NA,NA,"poS",NA,NA,"15022-3013",2016,6,15147,40.498218,-79.83426
"128",128,3014657,100,"CLd14 Annual Fund","6/13/2014 0:00",NA,NA,NA,NA,NA,NA,"15215-1524",2014,6,15071,40.420319,-80.18692
"129",129,3305008,1000,"CLd11 Annual Fund","9/20/2004 0:00",NA,NA,NA,NA,NA,NA,"16830-1806",2013,9,15137,40.380219,-79.81017
"130",130,55334,250,"CLd13 Annual Fund","11/9/1995 0:00",NA,NA,NA,NA,NA,NA,"15601-3968",2009,10,15017,40.351802,-80.11534
"131",131,542301,25,"CLd04 Annual Fund","6/10/2014 0:00",NA,NA,NA,NA,NA,NA,"15317-4868",2008,7,15237,40.552768,-80.03227
"132",132,78425,25,"CLd16 Annual Fund","7/8/2015 0:00",NA,NA,NA,NA,NA,NA,"15419-1203",2012,5,15222,40.447036,-79.99313
"133",133,178590,100,"CLd17 Annual Fund","5/23/2016 0:00","bwS","clS",NA,NA,NA,NA,"15044-7809",2013,8,15317,40.26819,-80.16222
"134",134,3082885,75,"CLd16 Annual Fund","3/12/2014 0:00","ptT","clS",NA,NA,NA,NA,"15139-0149",2014,8,15317,40.26819,-80.16222
"135",135,3151377,5,"CLd07 Annual Fund","3/17/2015 0:00",NA,NA,NA,NA,NA,NA,"15221-2000",2014,6,16222,40.8739,-79.24188
"136",136,3546035,100,"CLd13 Annual Fund","11/3/1997 0:00","ptS",NA,NA,NA,NA,NA,"43944-7802",2013,3,15237,40.552768,-80.03227
"137",137,3944825,200,"CLd13 Annual Fund","7/31/2009 0:00",NA,NA,NA,NA,NA,NA,"15205--164",2015,1,15022,40.136537,-79.91321
"138",138,10768,100,"CLd02 Annual Fund","11/10/2009 0:00","clS",NA,NA,NA,NA,NA,"15650-2592",2015,8,15236,40.342869,-79.97929
"139",139,502910,20,"CLd04 Annual Fund","8/30/2011 0:00",NA,NA,NA,NA,NA,NA,"15001-5721",2014,5,27932,36.093252,-76.62077
"140",140,3657690,50,"CLd97 Annual Fund","2/24/2016 0:00","bwS",NA,NA,NA,NA,NA,"15089-1304",2011,7,15317,40.26819,-80.16222
"141",141,3545977,100,"CLd14 Annual Fund","6/27/2016 0:00",NA,NA,NA,NA,NA,NA,"16226-9731",2012,5,15101,40.570915,-79.96033
"142",142,3135525,150,"CLd08 Annual Fund","3/5/2014 0:00",NA,NA,NA,NA,NA,NA,"16262-5108",2011,4,15131,40.341469,-79.81105
"143",143,3027012,250,"CLd12 Annual Fund","9/28/2005 0:00",NA,NA,NA,NA,NA,NA,"15068-4634",2009,11,15301,40.170663,-80.25185
"144",144,111482,25,"CLd16 Annual Fund","12/31/2016 0:00","clS",NA,NA,NA,NA,NA,"26302-2368",2012,4,15221,40.438035,-79.87191
"145",145,3137794,25,"CLd09 Annual Fund","7/28/2011 0:00","btS","ptT",NA,NA,NA,NA,"15202-2504",2014,11,15146,40.431034,-79.76526
"146",146,3036195,25,"CLd08 Annual Fund","2/17/2015 0:00",NA,NA,NA,NA,NA,NA,"44514-5263",2011,10,15236,40.342869,-79.97929
"147",147,215737,20,"CLd16 Annual Fund","2/20/2009 0:00",NA,NA,NA,NA,NA,NA,"15228-1549",2011,12,15217,40.430919,-79.92569
"148",148,3962280,250,"CLd04 Annual Fund","6/14/2016 0:00",NA,NA,NA,NA,NA,NA,"15232-2219",2010,4,15015,40.635147,-80.08369
"149",149,587502,25,"CLd13 Annual Fund","4/15/2016 0:00","clS",NA,NA,NA,NA,NA,"15317-9568",2011,3,15205,40.436618,-80.07289
"150",150,3864846,50,"CLd10 Annual Fund","2/7/2013 0:00",NA,NA,NA,NA,NA,NA,"15701-8512",2009,9,19002,40.169608,-75.21158
"151",151,3633153,50,"CLd05 Annual Fund","7/2/2002 0:00",NA,NA,NA,NA,NA,NA,"15747-6310",2016,10,15236,40.342869,-79.97929
"152",152,3905021,25,"CLd14 Wine Tasting & Auction","8/19/2004 0:00",NA,NA,"btS",NA,NA,NA,"15116-1939",2014,4,15220,40.430822,-80.04453
"153",153,3624176,25,"CLd04 Academy Fund","11/14/2016 0:00","clS",NA,NA,NA,NA,NA,"15644-9204",2016,12,15216,40.400319,-80.03566
"154",154,106009,500,"CLd05 Annual Fund","7/31/2016 0:00","btS",NA,NA,"poS",NA,NA,"26037-1912",2015,9,15825,41.160579,-79.06479
"155",155,3352059,100,"CLd12 Annual Fund","8/9/2004 0:00","bwS",NA,NA,NA,NA,NA,"15101-2837",2015,8,16201,40.809467,-79.49922
"156",156,334022,100,"CLd15 Annual Fund","9/30/2013 0:00","clS",NA,NA,NA,NA,NA,"15317-6622",1999,9,15208,40.455168,-79.89709
"157",157,109058,25,"CLd98 Annual Fund","4/27/2012 0:00",NA,NA,NA,NA,NA,NA,"15146-4832",2016,5,15218,40.424336,-79.88725
"158",158,3574116,100,"CLd08 Annual Fund - Turnbacks","9/23/2014 0:00",NA,NA,NA,NA,NA,NA,"15132-7500",2013,6,15205,40.436618,-80.07289
"159",159,3539425,25,"CLd13 Annual Fund","7/27/2016 0:00",NA,NA,NA,NA,NA,NA,"15146-1035",2012,11,15241,40.329619,-80.07364
"160",160,3496804,150,"CLd05 Annual Fund","6/19/2013 0:00","clS",NA,NA,NA,NA,NA,"15227-3837",1999,12,15210,40.409219,-79.98948
"161",161,498739,25,"CLd06 Wine Tasting & Auction","10/19/2011 0:00",NA,NA,NA,NA,NA,NA,"15243-1153",2011,8,15317,40.26819,-80.16222
"162",162,398024,25,"CLd03 Annual Fund","5/7/2016 0:00","clS",NA,NA,NA,NA,NA,"16428-2855",1998,2,15632,40.430632,-79.61837
"163",163,3346418,35,"CLd06 Annual Fund","2/10/2016 0:00",NA,NA,NA,NA,NA,NA,"15642-9541",2014,4,44512,41.032675,-80.66467
"164",164,3294629,25,"CLd01 Annual Fund","9/4/2015 0:00","bwS",NA,NA,NA,NA,NA,"15017-1211",2010,9,16046,40.695658,-80.03359
"165",165,203642,50,"CLd05 Annual Fund","11/30/2016 0:00",NA,NA,NA,NA,NA,NA,"15241-1613",2005,11,15235,40.459518,-79.83277
"166",166,3008356,25,"CLd11 Annual Fund","11/26/2014 0:00","ptT",NA,NA,NA,NA,NA,"15330-2690",2015,9,15102,40.324535,-80.03864
"167",167,3032566,50,"CLd10 Annual Fund","10/30/2012 0:00","ptT",NA,NA,NA,NA,NA,"15216-1004",2016,2,26501,39.628475,-79.98796
"168",168,3870176,100,"CLd16 Annual Fund","5/13/2016 0:00","bwS","ptT",NA,NA,NA,NA,"15218-1501",2011,12,15066,40.73998,-80.29472
"169",169,3574474,50,"CLd15 Annual Fund","4/23/2014 0:00",NA,NA,NA,NA,NA,NA,"15025-3093",2014,7,15145,40.408218,-79.82339
"170",170,390332,2500,"CLd10 Annual Fund","2/23/2007 0:00",NA,NA,NA,"poS",NA,NA,"15237-5950",2015,11,15642,40.325902,-79.71324
"171",171,163243,25,"CLd02 Annual Fund","4/30/2016 0:00","ptS",NA,NA,NA,NA,NA,"15239-2042",2014,6,15063,40.196694,-79.92642
"172",172,3541837,90,"CLd14 Annual Fund","5/17/2011 0:00",NA,NA,NA,NA,NA,NA,"15147-3882",2015,7,15229,40.518368,-80.03364
"173",173,4001475,810,"CLd14 Annual Fund","11/21/2012 0:00","clS",NA,NA,NA,NA,NA,"15215-1516",2013,5,15206,40.468968,-79.91863
